% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.028	1	0	28	1564.64	0
0.029	1	0	29	1176.92	0
0.03	1	0	30	1497.81	0
0.034	1	0	34	707.665	0
0.035	1	0	35	557.957	0
0.036	1	0	36	559.721	0
0.037	1	0	37	897.274	0
0.038	1	0	38	809.774	0
0.039	1	0	39	5325.76	0
0.04	1	0	40	4355.17	0
0.041	1	0	41	960.595	0
0.042	1	0	42	819.42	0
0.043	1	0	43	691.967	0
0.044	1	0	44	5323.93	0
0.045	1	0	45	1609.37	0
0.046	1	0	46	669.509	0
0.047	1	0	47	631.352	0
0.048	1	0	48	661.192	0
0.049	1	0	49	850.452	0
0.05	1	0	50	2491.8	0
0.051	1	0	51	703.218	0
0.052	1	0	52	4682.99	0
0.053	1	0	53	2364.4	0
0.054	1	0	54	2379.71	0
0.055	1	0	55	694.523	0
0.056	1	0	56	711.579	0
0.057	1	0	57	828.299	0
0.058	1	0	58	2410.04	0
0.059	1	0	59	1407.52	0
0.06	1	0	60	1933.05	0
0.061	1	0	61	1842.29	0
0.062	1	0	62	4644.86	0
0.063	1	0	63	998.939	0
0.064	1	0	64	656.329	0
