#Time	NodeType	NodeID	X	Y	Z
0	LTE	10	2000	2000	3
0	UAV	3	2000	2000	100
0	UAV	4	2500	2000	100
0	UAV	5	2250	2433.01	100
0	UAV	6	1750	2433.01	100
0	UAV	7	1500	2000	100
0	UAV	8	1750	1566.99	100
0	UAV	9	2250	1566.99	100
0	UE	11	2351.4	2125.83	0
0	UE	12	1856.22	1978	0
0	UE	13	1822.31	1743.39	0
0	UE	14	2217.25	1767.83	0
0	UE	15	2177.25	2226.32	0
0	UE	16	1863.38	2356.01	0
0	UE	17	1703.74	2387.48	0
0	UE	18	2317.95	1738	0
0	UE	19	2399.45	1868.96	0
0	UE	20	2424.05	1853.3	0
0	UE	21	1904.4	1781.62	0
0	UE	22	2146.48	1785.14	0
0	UE	23	1734.73	1843.73	0
0	UE	24	1846.34	1875.84	0
0	UE	25	1812.21	1850.37	0
0	UE	26	1526.35	2126.16	0
0	UE	27	2158.23	1784.75	0
0	UE	28	2228.3	2125.47	0
0	UE	29	1790.51	2168.68	0
0	UE	30	1552.65	2055.83	0
0	UE	31	2490.45	1914.72	0
0	UE	32	2058.23	1656.67	0
0	UE	33	1633.73	2156.46	0
0	UE	34	2363.43	2041.9	0
0	UE	35	1571.8	1942.29	0
0	UE	36	1602.79	1918.49	0
0	UE	37	2266.43	1949.94	0
0	UE	38	2129.22	2422.47	0
0	UE	39	1992.65	1679.46	0
0	UE	40	1939.86	2271.13	0
0	UE	41	1612.95	2038.58	0
0	UE	42	2368.78	2328.19	0
0	UE	43	2235.81	2108.68	0
0	UE	44	2092.21	1793.07	0
0	UE	45	2006.45	2130.93	0
0	UE	46	2170.48	2006.67	0
0	UE	47	2386.89	1832.28	0
0	UE	48	1579.28	1768.56	0
0	UE	49	1684.49	1661.88	0
0	UE	50	1582.6	1875.59	0
0	UE	51	1871.5	1640.99	0
0	UE	52	2270.06	2370.22	0
0	UE	53	2015.64	1989.86	0
0	UE	54	1789.21	2384.51	0
0	UE	55	1791.48	1862.23	0
0	UE	56	2430.66	1900.82	0
0	UE	57	2198.98	1857.22	0
0	UE	58	2070.74	1519.77	0
0	UE	59	2279.52	2326.52	0
0	UE	60	1955.18	1584.75	0
0	UE	61	2005.46	1555.7	0
0	UE	62	1629.16	2007.5	0
0	UE	63	2468.8	1956.1	0
0	UE	64	1542.94	2199.09	0
0	UE	65	2416.46	2056.5	0
0	UE	66	1647.61	2176.11	0
0	UE	67	1525.26	2072.28	0
0	UE	68	2018.78	2048.72	0
0	UE	69	2016.45	1967.35	0
0	UE	70	1809.16	1887.54	0
0	UE	71	2154.51	1719.55	0
0	UE	72	1769.06	1802.88	0
0	UE	73	2049.23	2045.29	0
