% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.028	1	0	28	17.9086	0
0.029	1	0	29	25.8574	0
0.03	1	0	30	22.8319	0
0.031	1	0	31	26.4815	0
0.032	1	0	32	41.3871	0
0.033	1	0	33	165.446	0
0.034	1	0	34	19.4923	0
0.035	1	0	35	16.5619	0
0.036	1	0	36	28.1157	0
0.037	1	0	37	19.4983	0
0.038	1	0	38	21.9039	0
0.039	1	0	39	63.2539	0
0.04	1	0	40	64.6236	0
0.041	1	0	41	33.0933	0
0.042	1	0	42	18.3959	0
0.043	1	0	43	26.5221	0
0.044	1	0	44	23.2834	0
0.045	1	0	45	26.4787	0
0.046	1	0	46	64.6795	0
0.047	1	0	47	18.549	0
0.048	1	0	48	70.886	0
0.049	1	0	49	32.3276	0
0.052	1	0	52	31.6952	0
0.053	1	0	53	76.1115	0
0.054	1	0	54	46.5518	0
0.055	1	0	55	17.8894	0
0.056	1	0	56	14.8922	0
0.057	1	0	57	23.2856	0
0.058	1	0	58	41.3637	0
0.059	1	0	59	22.5938	0
0.06	1	0	60	17.5106	0
0.061	1	0	61	21.8982	0
0.062	1	0	62	129.235	0
0.063	1	0	63	31.6697	0
0.064	1	0	64	51.5162	0
0.065	1	0	65	53.1888	0
0.066	1	0	66	200.284	0
0.067	1	0	67	27.8992	0
0.068	1	0	68	13.8135	0
0.069	1	0	69	19.4879	0
