#Time	NodeID	X	Y	Z
0	11	300	300	1.5
0	12	2000	300	1.5
0	13	3750	300	1.5
0	14	410	2000	1.5
0	15	2000	2000	1.5
0	16	3700	2000	1.5
0	17	300	3700	1.5
0	18	2000	3700	1.5
0	19	3750	3700	1.5
0	20	1492.5	2637.5	1.5
0	21	2637.5	2637.5	1.5
0	22	3912.5	2637.5	1.5
0	23	87.5	3912.5	1.5
0	24	1362.5	3912.5	1.5
0	25	2687.5	3912.5	1.5
0	26	3962.5	3912.5	1.5
0	27	980	3020	1.5
0	28	2000	3020	1.5
0	29	3020	3020	1.5
0	30	4040	3020	1.5
0	31	10	4040	1.5
0	32	1050	4040	1.5
0	33	2000	4040	1.5
0	34	3020	4040	1.5
0	35	4040	4040	1.5
0	36	725	3275	1.5
0	37	1625	3275	1.5
0	38	2515	3275	1.5
0	39	3275	3275	1.5
0	40	4125	3275	1.5
0	41	-125	4125	1.5
0	42	725	4125	1.5
0	43	1625	4125	1.5
0	44	2535	4125	1.5
0	45	3275	4125	1.5
0	46	4125	4125	1.5
0	47	542.857	3457.14	1.5
0	48	1271.43	3457.14	1.5
0	49	2050	3457.14	1.5
0	50	2858.57	3457.14	1.5
0	51	3457.14	3457.14	1.5
0	52	4185.71	3457.14	1.5
0	53	-185.714	4185.71	1.5
0	54	542.857	4185.71	1.5
0	55	1321.43	4185.71	1.5
0	56	2050	4185.71	1.5
0	57	2728.57	4185.71	1.5
0	58	3457.14	4185.71	1.5
0	59	4185.71	4185.71	1.5
0	60	406.25	3593.75	1.5
0	61	1093.75	3593.75	1.5
0	62	1751.25	3593.75	1.5
0	63	2318.75	3593.75	1.5
0	64	2956.25	3593.75	1.5
0	65	3593.75	3593.75	1.5
0	66	4231.25	3593.75	1.5
0	67	-181.25	4231.25	1.5
0	68	496.25	4231.25	1.5
0	69	1043.75	4231.25	1.5
0	70	1681.25	4231.25	1.5
0	71	2318.75	4231.25	1.5
0	72	2956.25	4231.25	1.5
0	73	3643.75	4231.25	1.5
