% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.212	0	0	22	3	6	28	9422	0	0	0
0.213	0	0	22	4	10	28	9422	0	0	0
0.214	0	0	22	5	11	28	9422	0	0	0
0.215	0	0	22	6	12	28	9422	0	0	0
0.216	0	0	22	7	13	28	9422	0	0	0
0.217	0	0	22	8	14	28	9422	0	0	0
0.218	0	0	22	9	15	28	9422	0	0	0
0.219	0	0	22	10	16	28	9422	0	0	0
0.22	0	0	23	1	22	28	9422	0	0	0
0.221	0	0	23	2	23	28	9422	0	0	0
0.222	0	0	23	3	24	28	9422	0	0	0
0.223	0	0	23	4	25	28	9422	0	0	0
0.224	0	0	23	5	27	28	9422	0	0	0
0.225	0	0	23	6	28	28	9422	0	0	0
0.226	0	0	23	7	30	28	9422	0	0	0
0.227	0	0	23	8	34	28	9422	0	0	0
0.228	0	0	23	9	40	28	9422	0	0	0
0.229	0	0	23	10	41	28	9422	0	0	0
0.23	0	0	24	1	42	28	9422	0	0	0
0.231	0	0	24	2	44	28	9422	0	0	0
0.232	0	0	24	3	45	28	9422	0	0	0
0.233	0	0	24	4	46	28	9422	0	0	0
0.234	0	0	24	5	50	28	9422	0	0	0
0.235	0	0	24	6	51	28	9422	0	0	0
0.236	0	0	24	7	52	28	9422	0	0	0
0.237	0	0	24	8	1	28	9422	0	0	0
0.238	0	0	24	9	5	28	9422	0	0	0
0.239	0	0	24	10	9	28	9422	0	0	0
0.24	0	0	25	1	19	28	9422	0	0	0
0.241	0	0	25	2	33	28	9422	0	0	0
0.242	0	0	25	3	47	28	9422	0	0	0
0.243	0	0	25	4	53	28	9422	0	0	0
0.244	0	0	25	5	54	28	9422	0	0	0
0.245	0	0	25	6	55	28	9422	0	0	0
0.246	0	0	25	7	57	28	9422	0	0	0
0.247	0	0	25	8	58	28	9422	0	0	0
0.248	0	0	25	9	59	28	9422	0	0	0
0.249	0	0	25	10	60	28	9422	0	0	0
0.25	0	0	26	1	61	28	9422	0	0	0
0.251	0	0	26	2	63	28	9422	0	0	0
0.252	0	0	26	3	64	28	9422	0	0	0
0.253	0	0	26	4	66	28	9422	0	0	0
0.254	0	0	26	5	29	28	9422	0	0	0
0.255	0	0	26	6	67	28	9422	0	0	0
0.256	0	0	26	7	68	28	9422	0	0	0
0.257	0	0	26	8	69	28	9422	0	0	0
0.258	0	0	26	9	6	28	9422	0	0	0
0.259	0	0	26	10	10	28	9422	0	0	0
0.26	0	0	27	1	11	28	9422	0	0	0
0.261	0	0	27	2	13	28	9422	0	0	0
0.262	0	0	27	3	15	28	9422	0	0	0
0.263	0	0	27	4	16	28	9422	0	0	0
0.264	0	0	27	5	22	28	9422	0	0	0
0.265	0	0	27	6	24	28	9422	0	0	0
0.266	0	0	27	7	25	28	9422	0	0	0
0.267	0	0	27	8	27	28	9422	0	0	0
0.268	0	0	27	9	28	28	9422	0	0	0
0.269	0	0	27	10	30	28	9422	0	0	0
0.27	0	0	28	1	40	28	9422	0	0	0
0.271	0	0	28	2	41	28	9422	0	0	0
0.272	0	0	28	3	42	28	9422	0	0	0
0.273	0	0	28	4	45	28	9422	0	0	0
0.274	0	0	28	5	46	28	9422	0	0	0
0.275	0	0	28	6	50	28	9422	0	0	0
0.276	0	0	28	7	2	28	9422	0	0	0
0.277	0	0	28	8	52	28	9422	0	0	0
0.278	0	0	28	9	9	28	9422	0	0	0
0.279	0	0	28	10	19	28	9422	0	0	0
0.28	0	0	29	1	33	28	9422	0	0	0
0.281	0	0	29	2	54	28	9422	0	0	0
0.282	0	0	29	3	57	28	9422	0	0	0
0.283	0	0	29	4	58	28	9422	0	0	0
0.284	0	0	29	5	59	28	9422	0	0	0
0.285	0	0	29	6	60	28	9422	0	0	0
0.286	0	0	29	7	61	28	9422	0	0	0
0.287	0	0	29	8	63	28	9422	0	0	0
0.288	0	0	29	9	64	28	9422	0	0	0
0.289	0	0	29	10	66	28	9422	0	0	0
0.29	0	0	30	1	29	28	9422	0	0	0
0.291	0	0	30	2	68	28	9422	0	0	0
0.292	0	0	30	3	6	28	9422	0	0	0
