action_type,param1,param2
1778855770139,0,2,1
1778855770139,0,3,1
1778855770139,0,4,0
1778855770139,0,5,0
1778855770139,0,6,1
1778855770139,0,7,0
1778855770139,0,8,1
1778855770239,0,2,1
1778855770239,0,3,0
1778855770239,0,4,1
1778855770239,0,5,0
1778855770239,0,6,0
1778855770239,0,7,1
1778855770239,0,8,0
1778855770339,0,2,1
1778855770339,0,3,1
1778855770339,0,4,0
1778855770339,0,5,1
1778855770339,0,6,1
1778855770339,0,7,1
1778855770339,0,8,0
1778855770439,0,2,1
1778855770439,0,3,1
1778855770439,0,4,0
1778855770439,0,5,1
1778855770439,0,6,0
1778855770439,0,7,1
1778855770439,0,8,0
1778855770539,0,2,1
1778855770539,0,3,1
1778855770539,0,4,0
1778855770539,0,5,1
1778855770539,0,6,0
1778855770539,0,7,1
1778855770539,0,8,0
1778855770639,0,2,1
1778855770639,0,3,1
1778855770639,0,4,0
1778855770639,0,5,1
1778855770639,0,6,0
1778855770639,0,7,1
1778855770639,0,8,0
1778855770739,0,2,1
1778855770739,0,3,1
1778855770739,0,4,0
1778855770739,0,5,1
1778855770739,0,6,0
1778855770739,0,7,1
1778855770739,0,8,0
