simtime,UeId,SourceCellId,TargetCellId
0.0766001,58,2,5
0.1038,41,3,7
0.1054,3,8,2
0.1054,22,2,8
0.1054,28,6,4
0.1054,44,5,4
0.1054,51,3,4
0.1054,47,8,2
0.1054,32,6,4
0.107,8,4,6
0.107,13,5,6
0.107,9,4,2
0.107,21,5,3
0.107,14,4,3
0.107,23,5,2
0.107,37,5,6
0.107,15,4,2
0.107,31,5,2
0.107,39,4,6
0.107,57,5,3
0.107,43,5,6
0.107,17,4,2
0.107,38,5,2
0.107,48,4,3
0.107,52,4,6
0.107,59,5,6
0.107,24,4,2
0.107,62,4,3
0.107,34,4,2
0.107,42,4,2
0.1118,56,2,8
0.1934,11,2,6
0.207,1,6,2
0.207,18,3,2
0.207,4,6,4
0.207,25,3,4
0.207,7,6,2
0.207,29,3,2
0.207,26,6,4
0.207,30,3,4
0.207,10,6,2
0.207,40,3,2
0.207,49,3,4
0.2078,45,2,4
0.2312,16,2,3
0.232,63,3,4
0.2414,2,2,7
0.3054,36,2,4
0.307,61,4,5
0.3304,50,2,4
0.332,35,2,5
0.3832,6,2,3
0.4062,46,2,5
0.4062,33,7,5
0.4312,53,3,2
0.4334,5,2,7
0.6078,20,2,3
0.6312,54,2,7
0.7198,27,2,3
