% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.22	0	0	23	1	6	0	349	0
0.221	0	0	23	2	10	0	349	0
0.222	0	0	23	3	11	0	349	0
0.223	0	0	23	4	12	0	349	0
0.224	0	0	23	5	13	0	349	0
0.225	0	0	23	6	14	0	349	0
0.226	0	0	23	7	15	0	349	0
0.227	0	0	23	8	16	0	349	0
0.228	0	0	23	9	22	0	349	0
0.229	0	0	23	10	23	0	349	0
0.23	0	0	24	1	24	0	349	0
0.231	0	0	24	2	25	0	349	0
0.232	0	0	24	3	27	0	349	0
0.233	0	0	24	4	28	28	9422	0
0.234	0	0	24	5	30	28	9422	0
0.235	0	0	24	6	34	28	9422	0
0.236	0	0	24	7	40	28	9422	0
0.237	0	0	24	8	41	28	9422	0
0.238	0	0	24	9	42	28	9422	0
0.239	0	0	24	10	44	28	9422	0
0.24	0	0	25	1	45	28	9422	0
0.241	0	0	25	2	46	28	9422	0
0.242	0	0	25	3	50	28	9422	0
0.243	0	0	25	4	51	28	9422	0
0.244	0	0	25	5	52	28	9422	0
0.245	0	0	25	6	1	0	349	0
0.246	0	0	25	7	5	0	349	0
0.247	0	0	25	8	9	0	349	0
0.248	0	0	25	9	19	0	173	0
0.248	0	0	25	9	6	0	173	0
0.249	0	0	25	10	10	0	173	0
0.249	0	0	25	10	33	28	4587	0
0.25	0	0	26	1	47	28	4587	0
0.25	0	0	26	1	6	0	173	0
0.251	0	0	26	2	10	0	173	0
0.251	0	0	26	2	53	28	4587	0
0.252	0	0	26	3	13	0	173	0
0.252	0	0	26	3	54	28	4587	0
0.253	0	0	26	4	55	28	9422	0
0.254	0	0	26	5	13	0	173	0
0.254	0	0	26	5	57	28	4587	0
0.255	0	0	26	6	16	0	173	0
0.255	0	0	26	6	58	28	4587	0
0.256	0	0	26	7	22	0	173	0
0.256	0	0	26	7	59	28	4587	0
0.257	0	0	26	8	16	0	173	0
0.257	0	0	26	8	60	28	4587	0
0.258	0	0	26	9	22	0	173	0
0.258	0	0	26	9	61	28	4587	0
0.259	0	0	26	10	25	0	173	0
0.259	0	0	26	10	63	28	4587	0
0.26	0	0	27	1	27	0	173	0
0.26	0	0	27	1	64	28	4587	0
0.261	0	0	27	2	25	0	113	0
0.261	0	0	27	2	28	28	3062	0
0.261	0	0	27	2	66	28	3062	0
0.262	0	0	27	3	27	0	113	0
0.262	0	0	27	3	29	28	3062	0
0.262	0	0	27	3	30	28	3062	0
0.263	0	0	27	4	28	28	4587	0
0.263	0	0	27	4	67	28	4587	0
0.264	0	0	27	5	30	28	4587	0
0.264	0	0	27	5	68	28	4587	0
0.265	0	0	27	6	69	28	9422	0
0.266	0	0	27	7	42	28	9422	0
0.268	0	0	27	9	45	28	3062	0
0.268	0	0	27	9	11	0	113	0
0.268	0	0	27	9	42	28	3062	0
0.269	0	0	27	10	46	28	9422	0
0.27	0	0	28	1	50	28	3062	0
0.27	0	0	28	1	15	0	113	0
0.27	0	0	28	1	45	28	3062	0
0.271	0	0	28	2	46	28	9422	0
0.272	0	0	28	3	50	28	9422	0
0.273	0	0	28	4	24	0	349	0
0.278	0	0	28	9	40	28	9422	0
0.279	0	0	28	10	41	28	9422	0
0.282	0	0	29	3	57	28	9422	0
0.283	0	0	29	4	58	28	9422	0
0.284	0	0	29	5	59	28	3062	0
0.284	0	0	29	5	2	0	113	0
0.284	0	0	29	5	57	28	3062	0
0.285	0	0	29	6	60	28	3062	0
0.285	0	0	29	6	52	28	3062	0
0.285	0	0	29	6	58	28	3062	0
0.286	0	0	29	7	59	28	4587	0
0.286	0	0	29	7	9	0	173	0
0.287	0	0	29	8	19	0	113	0
0.287	0	0	29	8	60	28	3062	0
0.287	0	0	29	8	63	28	3062	0
0.288	0	0	29	9	33	28	9422	0
0.289	0	0	29	10	54	28	4587	0
0.289	0	0	29	10	63	28	4587	0
0.294	0	0	30	5	61	28	9422	0
0.296	0	0	30	7	64	28	9422	0
0.297	0	0	30	8	66	28	9422	0
0.298	0	0	30	9	29	28	9422	0
0.299	0	0	30	10	68	28	9422	0
0.3	0	0	31	1	6	0	349	0
0.301	0	0	31	2	10	0	349	0
0.302	0	0	31	3	11	0	173	0
0.302	0	0	31	3	10	0	173	0
0.303	0	0	31	4	13	0	349	0
0.304	0	0	31	5	16	0	349	0
0.305	0	0	31	6	22	0	173	0
0.305	0	0	31	6	16	0	173	0
0.306	0	0	31	7	22	0	173	0
0.306	0	0	31	7	25	0	173	0
0.307	0	0	31	8	27	0	173	0
0.307	0	0	31	8	22	0	173	0
0.308	0	0	31	9	28	28	9422	0
0.309	0	0	31	10	30	28	9422	0
0.314	0	0	32	5	52	28	9422	0
0.315	0	0	32	6	9	0	349	0
0.316	0	0	32	7	19	0	349	0
0.317	0	0	32	8	33	28	9422	0
0.322	0	0	33	3	61	28	9422	0
0.324	0	0	33	5	14	0	349	0
0.325	0	0	33	6	64	28	9422	0
0.326	0	0	33	7	66	28	9422	0
0.327	0	0	33	8	29	28	9422	0
0.328	0	0	33	9	68	28	9422	0
0.329	0	0	33	10	10	0	349	0
0.33	0	0	34	1	11	0	173	0
0.33	0	0	34	1	10	28	4587	0
0.333	0	0	34	4	42	28	9422	0
0.334	0	0	34	5	45	28	9422	0
0.335	0	0	34	6	46	28	9422	0
0.336	0	0	34	7	50	28	9422	0
0.337	0	0	34	8	19	0	349	0
0.338	0	0	34	9	22	0	349	0
0.339	0	0	34	10	9	28	9422	0
0.34	0	0	35	1	52	28	9422	0
0.341	0	0	35	2	33	28	9422	0
0.342	0	0	35	3	57	28	9422	0
0.343	0	0	35	4	58	28	9422	0
0.344	0	0	35	5	59	28	9422	0
0.345	0	0	35	6	60	28	9422	0
0.346	0	0	35	7	61	28	9422	0
0.347	0	0	35	8	63	28	9422	0
0.348	0	0	35	9	64	28	9422	0
0.35	0	0	36	1	68	28	9422	0
0.351	0	0	36	2	29	28	9422	0
0.352	0	0	36	3	10	28	9422	0
0.353	0	0	36	4	16	28	9422	0
0.355	0	0	36	6	28	28	9422	0
0.356	0	0	36	7	11	28	9422	0
0.357	0	0	36	8	42	28	9422	0
0.358	0	0	36	9	14	28	9422	0
0.36	0	0	37	1	52	28	9422	0
0.361	0	0	37	2	19	28	9422	0
0.362	0	0	37	3	9	28	9422	0
0.363	0	0	37	4	33	28	9422	0
0.364	0	0	37	5	49	28	9422	0
0.365	0	0	37	6	49	28	9422	0
0.366	0	0	37	7	49	28	9422	0
0.369	0	0	37	10	61	28	9422	0
0.371	0	0	38	2	64	28	9422	0
0.372	0	0	38	3	66	28	9422	0
0.373	0	0	38	4	29	28	9422	0
0.374	0	0	38	5	68	28	9422	0
0.376	0	0	38	7	11	28	9422	0
0.378	0	0	38	9	22	28	9422	0
0.38	0	0	39	1	42	28	9422	0
0.381	0	0	39	2	26	28	9422	0
0.382	0	0	39	3	26	28	9422	0
0.383	0	0	39	4	4	28	9422	0
0.384	0	0	39	5	4	28	9422	0
0.385	0	0	39	6	26	28	9422	0
0.386	0	0	39	7	4	28	9422	0
0.387	0	0	39	8	45	28	9422	0
0.388	0	0	39	9	1	28	9422	0
0.389	0	0	39	10	49	28	9422	0
0.39	0	0	40	1	52	28	9422	0
0.391	0	0	40	2	19	28	9422	0
0.392	0	0	40	3	9	28	9422	0
0.393	0	0	40	4	14	28	9422	0
0.394	0	0	40	5	33	28	9422	0
0.395	0	0	40	6	1	28	9422	0
0.396	0	0	40	7	58	28	9422	0
0.397	0	0	40	8	59	28	4587	0
0.397	0	0	40	8	61	28	4587	0
0.399	0	0	40	10	63	28	9422	0
0.4	0	0	41	1	64	28	4587	0
0.4	0	0	41	1	66	28	4587	0
0.402	0	0	41	3	29	28	9422	0
0.403	0	0	41	4	68	28	9422	0
0.404	0	0	41	5	26	28	9422	0
0.405	0	0	41	6	4	28	9422	0
0.406	0	0	41	7	10	28	9422	0
0.407	0	0	41	8	11	28	9422	0
0.408	0	0	41	9	1	28	9422	0
0.409	0	0	41	10	16	28	9422	0
0.41	0	0	42	1	22	28	9422	0
0.411	0	0	42	2	28	28	9422	0
0.412	0	0	42	3	42	28	9422	0
0.414	0	0	42	5	49	28	9422	0
0.415	0	0	42	6	1	28	9422	0
0.417	0	0	42	8	19	28	9422	0
0.418	0	0	42	9	52	28	9422	0
0.419	0	0	42	10	33	28	9422	0
0.42	0	0	43	1	9	28	9422	0
0.421	0	0	43	2	12	28	9422	0
0.423	0	0	43	4	61	28	9422	0
0.425	0	0	43	6	64	28	9422	0
0.426	0	0	43	7	66	28	9422	0
0.427	0	0	43	8	29	28	9422	0
0.428	0	0	43	9	68	28	9422	0
0.429	0	0	43	10	26	28	9422	0
0.43	0	0	44	1	4	28	9422	0
0.433	0	0	44	4	22	28	9422	0
0.434	0	0	44	5	11	28	9422	0
0.436	0	0	44	7	45	28	9422	0
0.437	0	0	44	8	49	28	9422	0
0.438	0	0	44	9	19	28	9422	0
0.439	0	0	44	10	52	28	4587	0
0.439	0	0	44	10	1	28	4587	0
0.44	0	0	45	1	33	28	9422	0
0.441	0	0	45	2	9	28	9422	0
0.442	0	0	45	3	58	28	9422	0
0.443	0	0	45	4	59	28	9422	0
0.444	0	0	45	5	52	28	9422	0
0.446	0	0	45	7	63	28	9422	0
0.447	0	0	45	8	64	28	9422	0
0.449	0	0	45	10	29	28	9422	0
0.45	0	0	46	1	68	28	9422	0
0.451	0	0	46	2	26	28	9422	0
0.452	0	0	46	3	4	28	9422	0
0.453	0	0	46	4	10	28	9422	0
0.454	0	0	46	5	16	28	9422	0
0.455	0	0	46	6	12	28	9422	0
0.456	0	0	46	7	22	28	9422	0
0.457	0	0	46	8	28	28	9422	0
0.459	0	0	46	10	49	28	9422	0
