% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.028	1	0	28	813.523	0
0.029	1	0	29	703.242	0
0.03	1	0	30	1249.96	0
0.031	1	0	31	1249.7	0
0.032	1	0	32	732.907	0
0.033	1	0	33	747.823	0
0.034	1	0	34	574.309	0
0.039	1	0	39	625.613	0
0.04	1	0	40	1037.83	0
0.041	1	0	41	2389.29	0
0.042	1	0	42	919.289	0
0.043	1	0	43	1063.31	0
0.044	1	0	44	849.762	0
0.045	1	0	45	2076.86	0
0.046	1	0	46	626.323	0
0.047	1	0	47	849.783	0
0.048	1	0	48	830.45	0
0.049	1	0	49	1493.17	0
0.05	1	0	50	625.495	0
0.051	1	0	51	747.787	0
0.052	1	0	52	5321.26	0
0.053	1	0	53	813.473	0
0.054	1	0	54	2073.36	0
0.055	1	0	55	829.551	0
0.056	1	0	56	574.584	0
0.057	1	0	57	1635.33	0
0.058	1	0	58	591.021	0
0.059	1	0	59	433.676	0
0.06	1	0	60	733.101	0
0.061	1	0	61	451.826	0
0.062	1	0	62	1494.79	0
0.063	1	0	63	748.269	0
0.064	1	0	64	518.758	0
0.065	1	0	65	851.205	0
0.066	1	0	66	850.179	0
0.067	1	0	67	477.869	0
0.068	1	0	68	518.629	0
0.069	1	0	69	1061.67	0
