% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.212	0	0	22	3	2	28	9422	0	0	0
0.213	0	0	22	4	6	28	9422	0	0	0
0.214	0	0	22	5	9	28	9422	0	0	0
0.215	0	0	22	6	10	28	9422	0	0	0
0.216	0	0	22	7	11	28	9422	0	0	0
0.217	0	0	22	8	12	28	9422	0	0	0
0.218	0	0	22	9	13	28	9422	0	0	0
0.219	0	0	22	10	14	28	9422	0	0	0
0.22	0	0	23	1	15	28	9422	0	0	0
0.221	0	0	23	2	16	28	9422	0	0	0
0.222	0	0	23	3	22	28	9422	0	0	0
0.223	0	0	23	4	23	28	9422	0	0	0
0.224	0	0	23	5	24	28	9422	0	0	0
0.225	0	0	23	6	25	28	9422	0	0	0
0.226	0	0	23	7	27	28	9422	0	0	0
0.227	0	0	23	8	28	28	9422	0	0	0
0.228	0	0	23	9	29	28	9422	0	0	0
0.229	0	0	23	10	30	28	9422	0	0	0
0.23	0	0	24	1	33	28	9422	0	0	0
0.231	0	0	24	2	34	28	9422	0	0	0
0.232	0	0	24	3	40	28	9422	0	0	0
0.233	0	0	24	4	41	28	9422	0	0	0
0.234	0	0	24	5	42	28	9422	0	0	0
0.235	0	0	24	6	44	28	9422	0	0	0
0.236	0	0	24	7	45	28	9422	0	0	0
0.237	0	0	24	8	1	28	9422	0	0	0
0.238	0	0	24	9	5	28	9422	0	0	0
0.239	0	0	24	10	19	28	9422	0	0	0
0.24	0	0	25	1	46	28	9422	0	0	0
0.241	0	0	25	2	47	28	9422	0	0	0
0.242	0	0	25	3	50	28	9422	0	0	0
0.243	0	0	25	4	51	28	9422	0	0	0
0.244	0	0	25	5	52	28	9422	0	0	0
0.245	0	0	25	6	53	28	9422	0	0	0
0.246	0	0	25	7	54	28	9422	0	0	0
0.247	0	0	25	8	55	28	9422	0	0	0
0.248	0	0	25	9	57	28	9422	0	0	0
0.249	0	0	25	10	58	28	9422	0	0	0
0.25	0	0	26	1	59	28	9422	0	0	0
0.251	0	0	26	2	60	28	9422	0	0	0
0.252	0	0	26	3	61	28	9422	0	0	0
0.253	0	0	26	4	63	28	9422	0	0	0
0.254	0	0	26	5	64	28	9422	0	0	0
0.255	0	0	26	6	66	28	9422	0	0	0
0.256	0	0	26	7	67	28	9422	0	0	0
0.257	0	0	26	8	68	28	9422	0	0	0
0.258	0	0	26	9	69	28	9422	0	0	0
0.259	0	0	26	10	2	28	9422	0	0	0
0.26	0	0	27	1	6	28	9422	0	0	0
0.261	0	0	27	2	9	28	9422	0	0	0
0.262	0	0	27	3	10	28	9422	0	0	0
0.263	0	0	27	4	11	28	9422	0	0	0
0.264	0	0	27	5	12	28	9422	0	0	0
0.265	0	0	27	6	13	28	9422	0	0	0
0.266	0	0	27	7	15	28	9422	0	0	0
0.267	0	0	27	8	16	28	9422	0	0	0
0.268	0	0	27	9	22	28	9422	0	0	0
0.269	0	0	27	10	23	28	9422	0	0	0
0.27	0	0	28	1	24	28	9422	0	0	0
0.271	0	0	28	2	25	28	9422	0	0	0
0.272	0	0	28	3	27	28	9422	0	0	0
0.273	0	0	28	4	28	28	9422	0	0	0
0.274	0	0	28	5	29	28	9422	0	0	0
0.275	0	0	28	6	30	28	9422	0	0	0
0.276	0	0	28	7	33	28	9422	0	0	0
0.277	0	0	28	8	40	28	9422	0	0	0
0.278	0	0	28	9	41	28	9422	0	0	0
0.279	0	0	28	10	42	28	9422	0	0	0
0.28	0	0	29	1	44	28	9422	0	0	0
0.281	0	0	29	2	45	28	9422	0	0	0
0.282	0	0	29	3	19	28	9422	0	0	0
0.283	0	0	29	4	46	28	9422	0	0	0
