action_type,param1,param2
1778854283612,0,2,1
1778854283612,0,3,0
1778854283612,0,4,0
1778854283612,0,5,0
1778854283612,0,6,0
1778854283612,0,7,0
1778854283612,0,8,1
1778854283712,0,2,0
1778854283712,0,3,1
1778854283712,0,4,0
1778854283712,0,5,1
1778854283712,0,6,1
1778854283712,0,7,0
1778854283712,0,8,1
1778854283812,0,2,1
1778854283812,0,3,1
1778854283812,0,4,0
1778854283812,0,5,1
1778854283812,0,6,1
1778854283812,0,7,1
1778854283812,0,8,0
1778854283912,0,2,1
1778854283912,0,3,1
1778854283912,0,4,0
1778854283912,0,5,1
1778854283912,0,6,1
1778854283912,0,7,1
1778854283912,0,8,0
1778854284012,0,2,1
1778854284012,0,3,1
1778854284012,0,4,0
1778854284012,0,5,1
1778854284012,0,6,1
1778854284012,0,7,1
1778854284012,0,8,0
1778854284112,0,2,1
1778854284112,0,3,1
1778854284112,0,4,0
1778854284112,0,5,1
1778854284112,0,6,1
1778854284112,0,7,1
1778854284112,0,8,0
1778854284212,0,2,1
1778854284212,0,3,1
1778854284212,0,4,0
1778854284212,0,5,1
1778854284212,0,6,1
1778854284212,0,7,1
1778854284212,0,8,0
1778854284312,0,2,1
1778854284312,0,3,1
1778854284312,0,4,0
1778854284312,0,5,1
1778854284312,0,6,1
1778854284312,0,7,1
1778854284312,0,8,0
1778854284412,0,2,1
1778854284412,0,3,1
1778854284412,0,4,0
1778854284412,0,5,1
1778854284412,0,6,1
1778854284412,0,7,1
1778854284412,0,8,0
