% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.028	1	0	28	813.523	0
0.029	1	0	29	703.242	0
0.03	1	0	30	1249.96	0
0.031	1	0	31	1249.7	0
0.032	1	0	32	732.907	0
0.033	1	0	33	747.823	0
0.034	1	0	34	574.309	0
0.039	1	0	39	625.613	0
0.04	1	0	40	1037.83	0
0.041	1	0	41	2389.29	0
0.042	1	0	42	919.289	0
0.043	1	0	43	1063.31	0
0.044	1	0	44	849.762	0
0.045	1	0	45	2076.86	0
0.046	1	0	46	626.323	0
0.047	1	0	47	849.783	0
0.048	1	0	48	830.45	0
0.049	1	0	49	1493.17	0
0.05	1	0	50	625.495	0
0.051	1	0	51	747.787	0
0.052	1	0	52	5321.26	0
0.053	1	0	53	813.473	0
0.054	1	0	54	2073.36	0
0.055	1	0	55	829.551	0
0.056	1	0	56	574.584	0
0.057	1	0	57	1635.33	0
0.058	1	0	58	591.021	0
0.059	1	0	59	433.676	0
0.06	1	0	60	733.101	0
0.061	1	0	61	451.826	0
0.062	1	0	62	1494.79	0
0.063	1	0	63	748.269	0
0.064	1	0	64	518.758	0
0.065	1	0	65	851.205	0
0.066	1	0	66	850.179	0
0.067	1	0	67	477.869	0
0.068	1	0	68	518.629	0
0.069	1	0	69	1061.67	0
0.321	1	0	1	1057.53	0
0.322	1	0	2	1494.76	0
0.323	1	0	3	699.309	0
0.324	1	0	4	1336.77	0
0.325	1	0	5	480.01	0
0.326	1	0	6	1494.79	0
0.327	1	0	7	4118.56	0
0.328	1	0	8	919.882	0
0.329	1	0	9	1012.76	0
0.33	1	0	10	572.675	0
0.331	1	0	11	744.937	0
0.332	1	0	12	2391.63	0
0.333	1	0	13	453.75	0
0.334	1	0	14	1627.66	0
0.335	1	0	15	825.28	0
0.336	1	0	16	1022.64	0
0.339	1	0	19	1321.73	0
0.34	1	0	20	1634.88	0
0.341	1	0	21	5314.48	0
0.342	1	0	22	1629.59	0
0.343	1	0	23	5258.21	0
0.344	1	0	24	590.545	0
0.345	1	0	25	2018.29	0
0.346	1	0	26	904.267	0
0.347	1	0	27	705.854	0
0.348	1	0	28	809.891	0
0.349	1	0	29	701.04	0
0.35	1	0	30	1243.71	0
0.351	1	0	31	1240.92	0
0.352	1	0	32	731.092	0
0.353	1	0	33	751.887	0
0.354	1	0	34	571.72	0
0.359	1	0	39	622.174	0
0.36	1	0	40	1035.98	0
0.361	1	0	41	2371.05	0
0.362	1	0	42	914.781	0
0.363	1	0	43	1065.84	0
0.364	1	0	44	845.266	0
0.365	1	0	45	2082.38	0
0.366	1	0	46	628.338	0
0.367	1	0	47	845.722	0
0.368	1	0	48	830.45	0
0.369	1	0	49	1482.63	0
0.37	1	0	50	622.056	0
0.371	1	0	51	750.184	0
0.372	1	0	52	5307.6	0
0.373	1	0	53	811.248	0
0.374	1	0	54	2057.31	0
0.375	1	0	55	824.344	0
0.376	1	0	56	574.584	0
0.377	1	0	57	1635.33	0
0.378	1	0	58	593.658	0
0.379	1	0	59	432.62	0
0.38	1	0	60	733.169	0
0.381	1	0	61	450.2	0
0.382	1	0	62	1494.75	0
0.383	1	0	63	752.671	0
0.384	1	0	64	517.376	0
0.385	1	0	65	855.283	0
0.386	1	0	66	849.185	0
0.387	1	0	67	475.615	0
0.388	1	0	68	516.723	0
0.389	1	0	69	1055.66	0
0.641	1	0	1	1052.15	0
0.642	1	0	2	1494.67	0
0.643	1	0	3	695.25	0
0.644	1	0	4	1344.78	0
0.645	1	0	5	481.659	0
0.646	1	0	6	1494.79	0
0.647	1	0	7	4085.91	0
0.648	1	0	8	919.882	0
0.649	1	0	9	1008.37	0
0.65	1	0	10	570.831	0
0.651	1	0	11	742.557	0
0.652	1	0	12	2391.63	0
0.653	1	0	13	455.305	0
0.654	1	0	14	1627.66	0
0.655	1	0	15	820.382	0
0.656	1	0	16	1027.76	0
0.659	1	0	19	1315.19	0
0.66	1	0	20	1641.66	0
0.661	1	0	21	5314.48	0
0.662	1	0	22	1624.24	0
0.663	1	0	23	5206.46	0
0.664	1	0	24	590.545	0
0.665	1	0	25	2003.36	0
0.666	1	0	26	904.267	0
0.667	1	0	27	708.079	0
0.668	1	0	28	806.282	0
