simtime,UeId,SourceCellId,TargetCellId
0.0766001,58,2,5
0.1038,41,3,7
0.1054,3,8,2
0.1054,22,2,8
0.1054,28,6,4
0.1054,44,5,4
0.1054,51,3,4
0.1054,47,8,2
0.1054,32,6,4
0.107,1,6,2
0.107,8,4,2
0.107,13,5,2
0.107,18,3,2
0.107,4,6,2
0.107,9,4,2
0.107,21,5,2
0.107,25,3,2
0.107,7,6,2
0.107,14,4,2
0.107,23,5,2
0.107,29,3,2
0.107,10,6,2
0.107,15,4,2
0.107,31,5,2
0.107,30,3,2
0.107,26,6,2
0.107,17,4,2
0.107,37,5,2
0.107,24,4,2
0.107,38,5,2
0.107,34,4,2
0.1118,56,2,8
0.132,40,3,2
0.132,42,4,2
0.2062,39,4,2
0.2062,49,3,8
0.207,2,2,5
0.207,48,4,3
0.207,5,2,6
0.207,6,2,3
0.207,12,2,8
0.207,11,2,6
0.207,16,2,3
0.207,19,2,8
0.207,27,2,3
0.207,45,2,6
0.207,20,2,8
0.207,46,2,5
0.207,35,2,3
0.207,50,2,5
0.2078,53,3,6
0.2078,59,5,3
0.2078,61,4,5
0.2078,63,3,5
0.2078,62,4,5
0.219,55,2,3
0.232,52,4,6
0.232,54,2,3
0.307,36,2,3
0.3822,60,2,5
0.4846,43,5,6
0.531,33,5,3
