timestamp,ueImsiComplete,numActiveUes,RRC.ConnMean,DRB.EstabSucc.5QI.UEID (numDrb),DRB.RelActNbr.5QI.UEID (0),L3 serving Id(m_cellId),UE (imsi),L3 serving SINR,L3 serving SINR 3gpp,L3 neigh Id 1 (cellId),L3 neigh SINR 1,L3 neigh SINR 3gpp 1 (convertedSinr),L3 neigh Id 2 (cellId),L3 neigh SINR 2,L3 neigh SINR 3gpp 2 (convertedSinr),L3 neigh Id 3 (cellId),L3 neigh SINR 3,L3 neigh SINR 3gpp 3 (convertedSinr),L3 neigh Id 4 (cellId),L3 neigh SINR 4,L3 neigh SINR 3gpp 4 (convertedSinr),L3 neigh Id 5 (cellId),L3 neigh SINR 5,L3 neigh SINR 3gpp 5 (convertedSinr),L3 neigh Id 6 (cellId),L3 neigh SINR 6,L3 neigh SINR 3gpp 6 (convertedSinr),L3 neigh Id 7 (cellId),L3 neigh SINR 7,L3 neigh SINR 3gpp 7 (convertedSinr),L3 neigh Id 8 (cellId),L3 neigh SINR 8,L3 neigh SINR 3gpp 8 (convertedSinr)
1778854283612,00003,2,1,0,0,8,3,2.719060,52.000000,2,5.182448,57.000000,7,1.082136,49.000000,6,-7.140978,32.000000,3,-13.755579,19.000000,5,-15.263825,16.000000,4,-24.346240,0.000000,,,,,,
1778854283612,00047,2,1,0,0,8,47,29.952654,107.000000,5,9.517683,66.000000,6,9.322567,65.000000,2,5.198804,57.000000,4,4.411474,55.000000,7,-10.437116,25.000000,3,-11.265429,24.000000,,,,,,
1778854283712,00003,2,2,0,0,8,3,1.511821,49.000000,2,40.742461,127.000000,7,6.113272,59.000000,6,-10.362072,25.000000,3,-13.269622,20.000000,5,-14.070443,18.000000,4,-27.840117,0.000000,,,,,,
1778854283712,00047,2,2,0,0,8,47,-19.035650,8.000000,2,7.421099,61.000000,6,5.806603,58.000000,4,4.755737,56.000000,5,-0.141699,46.000000,3,-7.486049,31.000000,7,-7.602236,31.000000,,,,,,
1778854283812,00003,2,2,0,0,8,3,4.659295,56.000000,7,9.641036,66.000000,2,8.330011,63.000000,6,-10.128522,26.000000,5,-11.122154,24.000000,3,-15.931370,14.000000,4,-26.934490,0.000000,,,,,,
1778854283812,00047,2,2,0,0,8,47,-15.519526,15.000000,4,11.836135,70.000000,6,10.435848,67.000000,5,5.493819,57.000000,2,5.370879,57.000000,7,-7.899766,30.000000,3,-10.165790,26.000000,,,,,,
1778854283912,00003,2,2,0,0,8,3,6.942668,60.000000,3,35.112531,117.000000,7,14.588076,76.000000,2,4.846929,56.000000,5,-6.214120,34.000000,6,-8.672687,29.000000,4,-30.302743,0.000000,,,,,,
1778854283912,00047,2,2,0,0,8,47,-18.827481,8.000000,4,6.072913,59.000000,2,5.654719,58.000000,6,4.364770,55.000000,5,-3.439574,39.000000,3,-10.891738,24.000000,7,-14.123276,18.000000,,,,,,
1778854284012,00003,2,2,0,0,8,3,0.933405,48.000000,7,15.312385,77.000000,2,12.625659,72.000000,5,0.536992,47.000000,6,-3.683456,39.000000,3,-4.846692,37.000000,4,-31.360140,0.000000,,,,,,
1778854284012,00047,2,2,0,0,8,47,-13.066151,20.000000,4,17.852829,82.000000,2,9.737624,66.000000,6,5.780795,58.000000,5,2.724861,52.000000,7,-12.250509,22.000000,3,-12.303315,22.000000,,,,,,
1778854284112,00003,2,2,0,0,8,3,11.281411,69.000000,7,27.702098,102.000000,2,15.270938,77.000000,5,-0.532367,45.000000,6,-6.281015,34.000000,3,-10.445551,25.000000,4,-31.465213,0.000000,,,,,,
1778854284112,00047,2,2,0,0,8,47,-17.136481,12.000000,4,45.734477,127.000000,6,7.161666,61.000000,2,7.142725,61.000000,5,-0.891992,45.000000,3,-4.595287,37.000000,7,-13.279518,20.000000,,,,,,
1778854284212,00003,2,2,0,0,8,3,9.642935,66.000000,3,33.094504,113.000000,7,28.756329,104.000000,2,15.289241,77.000000,6,-4.069746,38.000000,5,-5.096960,36.000000,4,-24.136756,0.000000,,,,,,
1778854284212,00047,2,2,0,0,8,47,-15.488242,15.000000,3,35.690102,118.000000,4,24.305299,95.000000,5,7.247685,61.000000,2,2.033000,50.000000,6,-0.872520,45.000000,7,-19.673631,7.000000,,,,,,
1778854284312,00003,2,2,0,0,8,3,9.620919,66.000000,7,28.272832,103.000000,2,13.326849,73.000000,3,-2.157286,42.000000,5,-3.981266,38.000000,6,-11.785791,23.000000,4,-29.358346,0.000000,,,,,,
1778854284312,00047,2,2,0,0,8,47,-4.113871,38.000000,4,17.463839,82.000000,5,13.848674,74.000000,2,5.059801,57.000000,6,-0.714618,45.000000,7,-8.251249,30.000000,3,-10.297039,26.000000,,,,,,
1778854284412,00003,2,2,0,0,8,3,7.088780,61.000000,7,19.247057,85.000000,2,12.407330,71.000000,3,10.626743,68.000000,6,-5.411749,35.000000,5,-9.398030,27.000000,4,-25.696822,0.000000,,,,,,
1778854284412,00047,2,2,0,0,8,47,-2.701766,41.000000,4,27.533569,102.000000,5,9.426204,65.000000,2,2.467844,51.000000,6,-4.176482,38.000000,7,-11.050607,24.000000,3,-11.214096,24.000000,,,,,,
