action_type,param1,param2
1778856956858,0,2,1
1778856956858,0,3,1
1778856956858,0,4,0
1778856956858,0,5,1
1778856956858,0,6,0
1778856956858,0,7,1
1778856956858,0,8,0
1778856956958,0,2,0
1778856956958,0,3,0
1778856956958,0,4,1
1778856956958,0,5,1
1778856956958,0,6,0
1778856956958,0,7,0
1778856956958,0,8,0
1778856957058,0,2,1
1778856957058,0,3,1
1778856957058,0,4,0
1778856957058,0,5,1
1778856957058,0,6,1
1778856957058,0,7,1
1778856957058,0,8,0
1778856957158,0,2,1
1778856957158,0,3,1
1778856957158,0,4,0
1778856957158,0,5,1
1778856957158,0,6,1
1778856957158,0,7,1
1778856957158,0,8,0
1778856957258,0,2,1
1778856957258,0,3,1
1778856957258,0,4,0
1778856957258,0,5,1
1778856957258,0,6,1
1778856957258,0,7,1
1778856957258,0,8,0
1778856957358,0,2,1
1778856957358,0,3,1
1778856957358,0,4,0
1778856957358,0,5,1
1778856957358,0,6,1
1778856957358,0,7,1
1778856957358,0,8,0
1778856957458,0,2,1
1778856957458,0,3,1
1778856957458,0,4,0
1778856957458,0,5,1
1778856957458,0,6,1
1778856957458,0,7,1
1778856957458,0,8,0
1778856957558,0,2,1
1778856957558,0,3,1
1778856957558,0,4,0
1778856957558,0,5,1
1778856957558,0,6,1
1778856957558,0,7,1
1778856957558,0,8,0
1778856957658,0,2,1
1778856957658,0,3,1
1778856957658,0,4,0
1778856957658,0,5,1
1778856957658,0,6,1
1778856957658,0,7,1
1778856957658,0,8,0
