simtime,UeId,SourceCellId,TargetCellId
0.0766001,58,2,5
0.1038,41,3,7
0.1054,3,8,2
0.1054,22,2,8
0.1054,28,6,4
0.1054,44,5,4
0.1054,51,3,4
0.1054,47,8,2
0.1054,32,6,4
0.107,1,6,2
0.107,8,4,7
0.107,4,6,5
0.107,9,4,2
0.107,14,4,5
0.107,10,6,2
0.107,7,6,5
0.107,15,4,2
0.107,39,4,5
0.107,26,6,5
0.107,17,4,2
0.107,48,4,3
0.107,52,4,5
0.107,24,4,2
0.107,62,4,7
0.107,34,4,2
0.107,42,4,2
0.1384,53,3,5
0.178,23,5,7
0.2062,2,2,7
0.2062,63,3,2
0.207,5,2,5
0.207,18,3,4
0.207,6,2,4
0.207,29,3,5
0.207,25,3,4
0.207,11,2,4
0.207,20,2,5
0.207,30,3,4
0.207,12,2,4
0.207,40,3,4
0.207,16,2,4
0.207,19,2,4
0.207,27,2,4
0.207,35,2,4
0.2078,49,3,4
0.2078,45,2,4
0.2206,37,5,4
0.232,46,2,4
0.232,50,2,4
0.232,54,2,4
0.232,56,2,4
0.2542,55,2,4
0.2552,36,2,4
0.2558,60,2,5
0.307,61,4,3
0.332,38,5,6
0.3902,21,5,3
0.5614,43,5,6
0.6094,59,5,6
