% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.22	0	0	23	1	6	0	349	0
0.221	0	0	23	2	9	0	349	0
0.222	0	0	23	3	10	0	349	0
0.223	0	0	23	4	11	0	349	0
0.224	0	0	23	5	12	0	349	0
0.225	0	0	23	6	13	0	349	0
0.226	0	0	23	7	14	0	349	0
0.227	0	0	23	8	15	0	349	0
0.228	0	0	23	9	19	0	349	0
0.229	0	0	23	10	22	0	349	0
0.23	0	0	24	1	23	0	349	0
0.231	0	0	24	2	24	0	349	0
0.232	0	0	24	3	25	0	349	0
0.233	0	0	24	4	27	0	349	0
0.234	0	0	24	5	28	28	9422	0
0.235	0	0	24	6	30	28	9422	0
0.236	0	0	24	7	34	28	9422	0
0.237	0	0	24	8	40	28	9422	0
0.238	0	0	24	9	41	28	9422	0
0.239	0	0	24	10	44	28	9422	0
0.24	0	0	25	1	45	28	9422	0
0.241	0	0	25	2	46	28	9422	0
0.242	0	0	25	3	50	28	9422	0
0.243	0	0	25	4	51	28	9422	0
0.244	0	0	25	5	52	28	9422	0
0.245	0	0	25	6	1	0	349	0
0.246	0	0	25	7	5	0	349	0
0.247	0	0	25	8	16	0	349	0
0.248	0	0	25	9	33	28	4587	0
0.248	0	0	25	9	6	0	173	0
0.249	0	0	25	10	9	0	173	0
0.249	0	0	25	10	42	28	4587	0
0.25	0	0	26	1	47	28	4587	0
0.25	0	0	26	1	6	0	173	0
0.251	0	0	26	2	9	0	173	0
0.251	0	0	26	2	53	28	4587	0
0.252	0	0	26	3	54	28	9422	0
0.253	0	0	26	4	55	28	9422	0
0.254	0	0	26	5	57	28	9422	0
0.255	0	0	26	6	15	0	173	0
0.255	0	0	26	6	58	28	4587	0
0.256	0	0	26	7	19	0	173	0
0.256	0	0	26	7	59	28	4587	0
0.257	0	0	26	8	15	0	113	0
0.257	0	0	26	8	22	0	113	0
0.257	0	0	26	8	60	28	3062	0
0.258	0	0	26	9	19	0	173	0
0.258	0	0	26	9	61	28	4587	0
0.259	0	0	26	10	22	0	173	0
0.259	0	0	26	10	63	28	4587	0
0.26	0	0	27	1	25	0	173	0
0.26	0	0	27	1	64	28	4587	0
0.261	0	0	27	2	27	0	173	0
0.261	0	0	27	2	29	28	4587	0
0.262	0	0	27	3	66	28	3062	0
0.262	0	0	27	3	25	0	113	0
0.262	0	0	27	3	28	28	3062	0
0.263	0	0	27	4	67	28	4587	0
0.263	0	0	27	4	27	0	173	0
0.264	0	0	27	5	28	28	4587	0
0.264	0	0	27	5	68	28	4587	0
0.265	0	0	27	6	69	28	9422	0
0.266	0	0	27	7	41	28	9422	0
0.267	0	0	27	8	44	28	9422	0
0.268	0	0	27	9	45	28	3062	0
0.268	0	0	27	9	11	0	113	0
0.268	0	0	27	9	41	28	3062	0
0.269	0	0	27	10	46	28	3062	0
0.269	0	0	27	10	13	0	113	0
0.269	0	0	27	10	44	28	3062	0
0.27	0	0	28	1	45	28	4587	0
0.27	0	0	28	1	50	28	4587	0
0.271	0	0	28	2	51	28	4587	0
0.271	0	0	28	2	46	28	4587	0
0.272	0	0	28	3	50	28	9422	0
0.273	0	0	28	4	51	28	4587	0
0.273	0	0	28	4	24	0	173	0
0.277	0	0	28	8	40	28	9422	0
0.282	0	0	29	3	57	28	9422	0
0.284	0	0	29	5	2	0	173	0
0.284	0	0	29	5	57	28	4587	0
0.285	0	0	29	6	52	28	9422	0
0.286	0	0	29	7	61	28	4587	0
0.286	0	0	29	7	16	0	173	0
0.287	0	0	29	8	33	28	4587	0
0.287	0	0	29	8	63	28	4587	0
0.288	0	0	29	9	42	28	4587	0
0.288	0	0	29	9	61	28	4587	0
0.289	0	0	29	10	63	28	4587	0
0.289	0	0	29	10	54	28	4587	0
0.291	0	0	30	2	58	28	9422	0
0.292	0	0	30	3	59	28	9422	0
0.294	0	0	30	5	10	0	349	0
0.296	0	0	30	7	64	28	9422	0
0.297	0	0	30	8	29	28	9422	0
0.298	0	0	30	9	66	28	9422	0
0.299	0	0	30	10	67	28	9422	0
0.3	0	0	31	1	68	28	9422	0
0.301	0	0	31	2	6	0	349	0
0.302	0	0	31	3	9	0	349	0
0.303	0	0	31	4	11	0	173	0
0.303	0	0	31	4	9	0	173	0
0.304	0	0	31	5	15	0	349	0
0.305	0	0	31	6	19	0	349	0
0.306	0	0	31	7	22	0	173	0
0.306	0	0	31	7	19	0	173	0
0.307	0	0	31	8	22	0	349	0
0.309	0	0	31	10	66	28	9422	0
0.311	0	0	32	2	30	28	9422	0
0.315	0	0	32	6	10	0	349	0
0.317	0	0	32	8	52	28	9422	0
0.318	0	0	32	9	16	0	349	0
0.319	0	0	32	10	33	28	9422	0
0.32	0	0	33	1	42	28	9422	0
0.322	0	0	33	3	58	28	9422	0
0.323	0	0	33	4	59	28	9422	0
0.324	0	0	33	5	61	28	9422	0
0.325	0	0	33	6	14	0	349	0
0.328	0	0	33	9	64	28	9422	0
0.329	0	0	33	10	29	28	9422	0
0.33	0	0	34	1	9	28	9422	0
0.331	0	0	34	2	68	28	9422	0
0.332	0	0	34	3	9	28	9422	0
0.333	0	0	34	4	11	28	4587	0
0.333	0	0	34	4	19	0	173	0
0.334	0	0	34	5	19	0	349	0
0.335	0	0	34	6	22	0	349	0
0.336	0	0	34	7	25	0	173	0
0.336	0	0	34	7	22	0	173	0
0.337	0	0	34	8	27	0	349	0
0.338	0	0	34	9	28	28	9422	0
0.339	0	0	34	10	41	28	9422	0
0.34	0	0	35	1	44	28	9422	0
0.341	0	0	35	2	45	28	9422	0
0.342	0	0	35	3	46	28	9422	0
0.343	0	0	35	4	50	28	9422	0
0.344	0	0	35	5	10	28	9422	0
0.345	0	0	35	6	51	28	4587	0
0.345	0	0	35	6	52	28	4587	0
0.347	0	0	35	8	16	28	9422	0
0.348	0	0	35	9	30	28	9422	0
0.349	0	0	35	10	33	28	9422	0
0.35	0	0	36	1	42	28	9422	0
0.351	0	0	36	2	57	28	9422	0
0.352	0	0	36	3	58	28	4587	0
0.352	0	0	36	3	61	28	4587	0
0.353	0	0	36	4	59	28	9422	0
0.354	0	0	36	5	61	28	9422	0
0.355	0	0	36	6	63	28	9422	0
0.356	0	0	36	7	64	28	9422	0
0.357	0	0	36	8	29	28	9422	0
0.358	0	0	36	9	66	28	9422	0
0.359	0	0	36	10	14	28	9422	0
0.36	0	0	37	1	68	28	9422	0
0.361	0	0	37	2	9	28	9422	0
0.362	0	0	37	3	11	28	9422	0
0.363	0	0	37	4	19	28	9422	0
0.364	0	0	37	5	49	28	9422	0
0.365	0	0	37	6	49	28	9422	0
0.366	0	0	37	7	22	28	4587	0
0.366	0	0	37	7	28	28	4587	0
0.367	0	0	37	8	49	28	9422	0
0.368	0	0	37	9	28	28	9422	0
0.369	0	0	37	10	45	28	9422	0
0.37	0	0	38	1	10	28	4587	0
0.37	0	0	38	1	33	28	4587	0
0.371	0	0	38	2	52	28	9422	0
0.372	0	0	38	3	33	28	9422	0
0.373	0	0	38	4	42	28	9422	0
0.374	0	0	38	5	16	28	9422	0
0.375	0	0	38	6	58	28	9422	0
0.376	0	0	38	7	59	28	9422	0
0.377	0	0	38	8	61	28	9422	0
0.379	0	0	38	10	64	28	9422	0
0.38	0	0	39	1	26	28	9422	0
0.381	0	0	39	2	26	28	9422	0
0.382	0	0	39	3	26	28	9422	0
0.383	0	0	39	4	4	28	9422	0
0.384	0	0	39	5	4	28	9422	0
0.385	0	0	39	6	4	28	9422	0
0.386	0	0	39	7	29	28	4587	0
0.386	0	0	39	7	66	28	4587	0
0.388	0	0	39	9	1	28	9422	0
0.389	0	0	39	10	9	28	4587	0
0.389	0	0	39	10	68	28	4587	0
0.391	0	0	40	2	11	28	4587	0
0.391	0	0	40	2	19	28	4587	0
0.394	0	0	40	5	14	28	9422	0
0.395	0	0	40	6	1	28	9422	0
0.396	0	0	40	7	49	28	9422	0
0.397	0	0	40	8	28	28	9422	0
0.398	0	0	40	9	33	28	4587	0
0.398	0	0	40	9	45	28	4587	0
0.399	0	0	40	10	52	28	9422	0
0.4	0	0	41	1	16	28	9422	0
0.402	0	0	41	3	42	28	9422	0
0.403	0	0	41	4	58	28	9422	0
0.404	0	0	41	5	59	28	9422	0
0.405	0	0	41	6	61	28	9422	0
0.406	0	0	41	7	26	28	9422	0
0.407	0	0	41	8	63	28	9422	0
0.408	0	0	41	9	1	28	9422	0
0.409	0	0	41	10	10	28	9422	0
0.41	0	0	42	1	64	28	9422	0
0.411	0	0	42	2	4	28	9422	0
0.412	0	0	42	3	29	28	9422	0
0.413	0	0	42	4	66	28	9422	0
0.414	0	0	42	5	9	28	9422	0
0.415	0	0	42	6	19	28	9422	0
0.416	0	0	42	7	22	28	9422	0
0.417	0	0	42	8	68	28	9422	0
0.418	0	0	42	9	11	28	9422	0
0.419	0	0	42	10	49	28	9422	0
0.422	0	0	43	3	12	28	9422	0
0.424	0	0	43	5	52	28	9422	0
0.425	0	0	43	6	33	28	9422	0
0.426	0	0	43	7	16	28	9422	0
0.427	0	0	43	8	42	28	9422	0
0.428	0	0	43	9	58	28	9422	0
0.429	0	0	43	10	59	28	9422	0
0.43	0	0	44	1	61	28	9422	0
0.431	0	0	44	2	26	28	9422	0
0.433	0	0	44	4	64	28	9422	0
0.434	0	0	44	5	4	28	9422	0
0.435	0	0	44	6	10	28	9422	0
0.436	0	0	44	7	29	28	9422	0
0.441	0	0	45	2	49	28	9422	0
0.442	0	0	45	3	28	28	9422	0
0.443	0	0	45	4	68	28	9422	0
0.444	0	0	45	5	11	28	9422	0
0.445	0	0	45	6	1	28	9422	0
0.446	0	0	45	7	45	28	9422	0
0.449	0	0	45	10	42	28	9422	0
0.451	0	0	46	2	26	28	9422	0
0.452	0	0	46	3	58	28	4587	0
0.452	0	0	46	3	63	28	4587	0
0.453	0	0	46	4	64	28	9422	0
0.454	0	0	46	5	4	28	9422	0
0.455	0	0	46	6	59	28	9422	0
0.456	0	0	46	7	12	28	9422	0
0.457	0	0	46	8	58	28	9422	0
0.458	0	0	46	9	29	28	9422	0
0.459	0	0	46	10	66	28	9422	0
0.46	0	0	47	1	10	28	9422	0
0.461	0	0	47	2	68	28	9422	0
0.462	0	0	47	3	14	28	9422	0
0.463	0	0	47	4	9	28	9422	0
0.464	0	0	47	5	19	28	9422	0
0.465	0	0	47	6	11	28	9422	0
0.466	0	0	47	7	7	28	9422	0
0.467	0	0	47	8	7	28	9422	0
0.468	0	0	47	9	7	28	9422	0
0.469	0	0	47	10	22	28	9422	0
0.47	0	0	48	1	28	28	4587	0
0.47	0	0	48	1	49	28	4587	0
0.472	0	0	48	3	7	28	9422	0
0.473	0	0	48	4	1	28	9422	0
0.474	0	0	48	5	45	28	9422	0
0.475	0	0	48	6	52	28	9422	0
0.476	0	0	48	7	33	28	9422	0
0.477	0	0	48	8	42	28	9422	0
0.478	0	0	48	9	61	28	9422	0
0.479	0	0	48	10	16	28	9422	0
0.48	0	0	49	1	58	28	4587	0
0.48	0	0	49	1	63	28	4587	0
0.481	0	0	49	2	59	28	9422	0
0.482	0	0	49	3	63	28	4587	0
0.482	0	0	49	3	26	28	4587	0
0.484	0	0	49	5	64	28	9422	0
0.485	0	0	49	6	10	28	9422	0
0.486	0	0	49	7	4	28	9422	0
0.487	0	0	49	8	29	28	4587	0
0.487	0	0	49	8	66	28	4587	0
0.489	0	0	49	10	68	28	9422	0
0.49	0	0	50	1	12	28	9422	0
0.491	0	0	50	2	9	28	9422	0
0.492	0	0	50	3	19	28	9422	0
0.493	0	0	50	4	11	28	9422	0
0.495	0	0	50	6	49	28	9422	0
0.496	0	0	50	7	14	28	9422	0
0.497	0	0	50	8	28	28	9422	0
0.498	0	0	50	9	7	28	9422	0
0.499	0	0	50	10	1	28	9422	0
0.5	0	0	51	1	45	28	9422	0
0.503	0	0	51	4	42	28	9422	0
0.505	0	0	51	6	16	28	9422	0
0.506	0	0	51	7	58	28	9422	0
0.507	0	0	51	8	26	28	9422	0
0.508	0	0	51	9	59	28	9422	0
0.509	0	0	51	10	63	28	9422	0
0.51	0	0	52	1	64	28	9422	0
0.511	0	0	52	2	10	28	9422	0
0.512	0	0	52	3	44	28	9422	0
0.513	0	0	52	4	4	28	9422	0
0.514	0	0	52	5	29	28	9422	0
0.515	0	0	52	6	66	28	9422	0
0.516	0	0	52	7	68	28	9422	0
0.517	0	0	52	8	9	28	9422	0
0.518	0	0	52	9	19	28	9422	0
0.519	0	0	52	10	44	28	9422	0
0.52	0	0	53	1	11	28	9422	0
0.521	0	0	53	2	22	28	9422	0
0.522	0	0	53	3	49	28	9422	0
0.524	0	0	53	5	12	28	9422	0
0.525	0	0	53	6	7	28	9422	0
0.526	0	0	53	7	44	28	9422	0
0.527	0	0	53	8	1	28	9422	0
0.528	0	0	53	9	45	28	9422	0
0.529	0	0	53	10	52	28	9422	0
0.53	0	0	54	1	14	28	9422	0
0.531	0	0	54	2	33	28	9422	0
0.532	0	0	54	3	42	28	9422	0
0.533	0	0	54	4	16	28	9422	0
0.535	0	0	54	6	61	28	9422	0
0.536	0	0	54	7	58	28	9422	0
0.537	0	0	54	8	59	28	4587	0
0.537	0	0	54	8	63	28	4587	0
0.538	0	0	54	9	26	28	9422	0
0.539	0	0	54	10	63	28	9422	0
0.54	0	0	55	1	15	28	9422	0
0.541	0	0	55	2	10	28	9422	0
0.542	0	0	55	3	64	28	9422	0
0.543	0	0	55	4	66	28	4587	0
0.543	0	0	55	4	4	28	4587	0
0.544	0	0	55	5	29	28	9422	0
0.545	0	0	55	6	66	28	4587	0
0.545	0	0	55	6	9	28	4587	0
0.546	0	0	55	7	19	28	4587	0
0.546	0	0	55	7	46	28	4587	0
0.547	0	0	55	8	9	28	9422	0
0.548	0	0	55	9	19	28	9422	0
0.549	0	0	55	10	22	28	4587	0
0.549	0	0	55	10	11	28	4587	0
0.551	0	0	56	2	49	28	9422	0
0.552	0	0	56	3	28	28	9422	0
0.553	0	0	56	4	7	28	9422	0
0.554	0	0	56	5	45	28	9422	0
0.558	0	0	56	9	32	28	9422	0
0.559	0	0	56	10	32	28	9422	0
0.56	0	0	57	1	12	28	9422	0
0.562	0	0	57	3	32	28	9422	0
0.563	0	0	57	4	61	28	4587	0
0.563	0	0	57	4	16	28	4587	0
0.564	0	0	57	5	14	28	9422	0
0.565	0	0	57	6	61	28	4587	0
0.565	0	0	57	6	68	28	4587	0
0.566	0	0	57	7	42	28	9422	0
0.568	0	0	57	9	44	28	9422	0
0.57	0	0	58	1	58	28	9422	0
0.571	0	0	58	2	59	28	9422	0
0.572	0	0	58	3	26	28	9422	0
0.573	0	0	58	4	63	28	9422	0
0.574	0	0	58	5	15	28	9422	0
0.575	0	0	58	6	10	28	9422	0
0.576	0	0	58	7	64	28	9422	0
0.577	0	0	58	8	4	28	9422	0
0.578	0	0	58	9	29	28	9422	0
0.579	0	0	58	10	66	28	9422	0
0.58	0	0	59	1	28	28	4587	0
0.58	0	0	59	1	46	28	4587	0
0.581	0	0	59	2	1	28	9422	0
0.582	0	0	59	3	9	28	3062	0
0.582	0	0	59	3	28	28	3062	0
0.582	0	0	59	3	45	28	3062	0
0.583	0	0	59	4	19	28	9422	0
0.584	0	0	59	5	45	28	4587	0
0.584	0	0	59	5	11	28	4587	0
0.585	0	0	59	6	22	28	9422	0
0.586	0	0	59	7	49	28	9422	0
0.588	0	0	59	9	16	28	9422	0
0.59	0	0	60	1	68	28	9422	0
0.591	0	0	60	2	7	28	9422	0
0.593	0	0	60	4	52	28	9422	0
0.594	0	0	60	5	33	28	9422	0
0.596	0	0	60	7	42	28	4587	0
0.596	0	0	60	7	44	28	4587	0
0.597	0	0	60	8	32	28	9422	0
0.598	0	0	60	9	44	28	4587	0
0.598	0	0	60	9	14	28	4587	0
0.6	0	0	61	1	61	28	9422	0
0.601	0	0	61	2	63	28	4587	0
0.601	0	0	61	2	58	28	4587	0
0.602	0	0	61	3	59	28	9422	0
0.603	0	0	61	4	63	28	4587	0
0.603	0	0	61	4	26	28	4587	0
0.605	0	0	61	6	64	28	9422	0
0.606	0	0	61	7	4	28	9422	0
0.607	0	0	61	8	66	28	4587	0
0.607	0	0	61	8	1	28	4587	0
0.608	0	0	61	9	15	28	9422	0
0.609	0	0	61	10	29	28	4587	0
0.609	0	0	61	10	66	28	4587	0
0.61	0	0	62	1	9	28	9422	0
0.611	0	0	62	2	19	28	9422	0
0.613	0	0	62	4	22	28	4587	0
0.613	0	0	62	4	11	28	4587	0
0.614	0	0	62	5	10	28	9422	0
0.615	0	0	62	6	22	28	4587	0
0.615	0	0	62	6	46	28	4587	0
0.617	0	0	62	8	49	28	9422	0
0.618	0	0	62	9	68	28	9422	0
0.619	0	0	62	10	28	28	9422	0
0.62	0	0	63	1	16	28	9422	0
0.621	0	0	63	2	52	28	4587	0
0.621	0	0	63	2	7	28	4587	0
0.622	0	0	63	3	33	28	9422	0
0.623	0	0	63	4	52	28	9422	0
0.624	0	0	63	5	33	28	9422	0
0.625	0	0	63	6	42	28	9422	0
0.626	0	0	63	7	12	28	9422	0
0.627	0	0	63	8	32	28	9422	0
0.628	0	0	63	9	44	28	4587	0
0.628	0	0	63	9	61	28	4587	0
0.63	0	0	64	1	58	28	9422	0
0.631	0	0	64	2	59	28	9422	0
0.632	0	0	64	3	26	28	9422	0
0.633	0	0	64	4	14	28	9422	0
0.634	0	0	64	5	63	28	9422	0
0.636	0	0	64	7	4	28	9422	0
0.637	0	0	64	8	29	28	9422	0
0.638	0	0	64	9	66	28	9422	0
0.639	0	0	64	10	10	28	9422	0
0.64	0	0	65	1	9	28	9422	0
0.641	0	0	65	2	19	28	9422	0
0.642	0	0	65	3	11	28	9422	0
0.643	0	0	65	4	46	28	4587	0
0.643	0	0	65	4	65	28	4587	0
0.644	0	0	65	5	65	28	9422	0
0.645	0	0	65	6	46	28	4587	0
0.645	0	0	65	6	65	28	4587	0
0.647	0	0	65	8	22	28	4587	0
0.647	0	0	65	8	28	28	4587	0
0.648	0	0	65	9	64	28	9422	0
0.649	0	0	65	10	28	28	4587	0
0.649	0	0	65	10	49	28	4587	0
0.65	0	0	66	1	68	28	9422	0
0.652	0	0	66	3	16	28	9422	0
0.653	0	0	66	4	7	28	9422	0
0.655	0	0	66	6	45	28	9422	0
0.656	0	0	66	7	52	28	4587	0
0.656	0	0	66	7	44	28	4587	0
0.657	0	0	66	8	33	28	9422	0
0.658	0	0	66	9	42	28	4587	0
0.658	0	0	66	9	44	28	4587	0
0.659	0	0	66	10	32	28	9422	0
0.66	0	0	67	1	1	28	9422	0
0.661	0	0	67	2	12	28	9422	0
0.662	0	0	67	3	63	28	9422	0
0.663	0	0	67	4	61	28	9422	0
0.664	0	0	67	5	63	28	4587	0
0.664	0	0	67	5	58	28	4587	0
