% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
226	1	0	6	0	0	349	0	1	1	0
227	1	0	9	0	0	349	0	1	1	0
228	1	0	10	0	0	349	0	1	1	0
229	1	0	11	0	0	349	0	1	1	0
230	1	0	12	0	0	349	0	1	1	0
231	1	0	13	0	0	349	0	1	1	0
232	1	0	14	0	0	349	0	1	1	0
233	1	0	15	0	0	349	0	1	1	0
234	1	0	19	0	0	349	0	1	1	0
235	1	0	22	0	0	349	0	1	1	0
236	1	0	23	0	0	349	0	1	1	0
237	1	0	24	0	0	349	0	1	1	0
238	1	0	25	0	0	349	0	1	1	0
239	1	0	27	0	0	349	0	1	1	0
240	1	0	28	0	28	9422	0	1	1	0
241	1	0	30	0	28	9422	0	1	1	0
242	1	0	34	0	28	9422	0	1	1	0
243	1	0	40	0	28	9422	0	1	1	0
244	1	0	41	0	28	9422	0	1	1	0
245	1	0	44	0	28	9422	0	1	1	0
246	1	0	45	0	28	9422	0	1	1	0
247	1	0	46	0	28	9422	0	1	1	0
248	1	0	50	0	28	9422	0	1	1	0
249	1	0	51	0	28	9422	0	1	1	0
250	1	0	52	0	28	9422	0	1	1	0
251	1	0	1	0	0	349	0	1	1	0
252	1	0	5	0	0	349	0	1	1	0
253	1	0	16	0	0	349	0	1	1	0
254	1	0	6	0	0	173	0	1	1	0
254	1	0	33	0	28	4587	0	1	1	0
255	1	0	9	0	0	173	0	1	1	0
255	1	0	42	0	28	4587	0	1	1	0
256	1	0	6	0	0	173	0	1	0	0
256	1	0	47	0	28	4587	0	1	1	0
257	1	0	9	0	0	173	0	1	0	0
257	1	0	53	0	28	4587	0	1	1	0
258	1	0	54	0	28	9422	0	1	1	0
259	1	0	55	0	28	9422	0	1	1	0
260	1	0	57	0	28	9422	0	1	1	0
261	1	0	15	0	0	173	0	1	1	0
261	1	0	58	0	28	4587	0	1	1	0
262	1	0	19	0	0	173	0	1	1	0
262	1	0	59	0	28	4587	0	1	1	0
263	1	0	15	0	0	113	0	1	0	0
263	1	0	22	0	0	113	0	1	1	0
263	1	0	60	0	28	3062	0	1	1	0
264	1	0	19	0	0	173	0	1	0	0
264	1	0	61	0	28	4587	0	1	1	0
265	1	0	22	0	0	173	0	1	0	0
265	1	0	63	0	28	4587	0	1	1	0
266	1	0	25	0	0	173	0	1	1	0
266	1	0	64	0	28	4587	0	1	1	0
267	1	0	27	0	0	173	0	1	1	0
267	1	0	29	0	28	4587	0	1	1	0
268	1	0	25	0	0	113	0	1	0	0
268	1	0	28	0	28	3062	0	1	1	0
268	1	0	66	0	28	3062	0	1	1	0
269	1	0	27	0	0	173	0	1	0	0
269	1	0	67	0	28	4587	0	1	1	0
270	1	0	28	0	28	4587	0	1	0	0
270	1	0	68	0	28	4587	0	1	1	0
271	1	0	69	0	28	9422	0	1	1	0
272	1	0	41	0	28	9422	0	1	1	0
273	1	0	44	0	28	9422	0	1	1	0
274	1	0	11	0	0	113	0	1	1	0
274	1	0	41	0	28	3062	0	1	0	0
274	1	0	45	0	28	3062	0	1	1	0
275	1	0	13	0	0	113	0	1	1	0
275	1	0	44	0	28	3062	0	1	0	0
275	1	0	46	0	28	3062	0	1	1	0
276	1	0	45	0	28	4587	0	1	0	0
276	1	0	50	0	28	4587	0	1	1	0
277	1	0	46	0	28	4587	0	1	0	0
277	1	0	51	0	28	4587	0	1	1	0
279	1	0	24	0	0	173	0	1	1	0
279	1	0	51	0	28	4587	0	1	0	0
283	1	0	40	0	28	9422	0	1	1	0
288	1	0	57	0	28	9422	0	1	1	0
290	1	0	2	0	0	173	0	1	1	0
290	1	0	57	0	28	4587	0	1	0	0
291	1	0	52	0	28	9422	0	1	1	0
292	1	0	16	0	0	173	0	1	1	0
292	1	0	61	0	28	4587	0	1	0	0
293	1	0	33	0	28	4587	0	1	1	0
293	1	0	63	0	28	4587	0	1	1	0
294	1	0	42	0	28	4587	0	1	1	0
294	1	0	61	0	28	4587	0	1	0	0
295	1	0	54	0	28	4587	0	1	1	0
295	1	0	63	0	28	4587	0	1	0	0
297	1	0	58	0	28	9422	0	1	1	0
298	1	0	59	0	28	9422	0	1	1	0
300	1	0	10	0	0	349	0	1	1	0
302	1	0	64	0	28	9422	0	1	1	0
303	1	0	29	0	28	9422	0	1	1	0
304	1	0	66	0	28	9422	0	1	1	0
305	1	0	67	0	28	9422	0	1	1	0
306	1	0	68	0	28	9422	0	1	1	0
307	1	0	6	0	0	349	0	1	1	0
308	1	0	9	0	0	349	0	1	1	0
309	1	0	9	0	0	173	0	1	0	0
309	1	0	11	0	0	173	0	1	1	0
310	1	0	15	0	0	349	0	1	1	0
311	1	0	19	0	0	349	0	1	1	0
312	1	0	19	0	0	173	0	1	0	0
312	1	0	22	0	0	173	0	1	1	0
313	1	0	22	0	0	349	0	1	1	0
315	1	0	66	0	28	9422	0	1	1	0
317	1	0	30	0	28	9422	0	1	1	0
321	1	0	10	0	0	349	0	1	1	0
323	1	0	52	0	28	9422	0	1	1	0
324	1	0	16	0	0	349	0	1	1	0
